Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	B9A	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	C4B	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	516	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	3E4	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	7F0	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	D8A	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	E77	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	90F	Head lift			POINT	391.795	391.795	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	90F	Wing stretch			POINT	392.995	392.995	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	90F	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	B9A	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	C4B	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	516	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	3E4	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	7F0	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	D8A	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 30 M2U00725	2021-07-15 15:32:24		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00725.MPG	5695.190	29.97	E77	END			POINT	403.000	403.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	90F	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	B9A	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	C4B	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	516	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	3E4	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	7F0	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	D8A	END			POINT	413.000	413.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	E77	END			POINT	413.000	413.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	D8A	Leave cluster			POINT	437.240	437.240	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	90F	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	B9A	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	C4B	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	516	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	3E4	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	7F0	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	D8A	END			POINT	448.000	448.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	E77	END			POINT	448.000	448.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	90F	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	B9A	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	C4B	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	516	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	3E4	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	7F0	END			POINT	458.000	458.000	NA		
